country,year,gdp per capita (current us$),gdp (current us$),"inflation, consumer prices (annual %)",poverty headcount ratio at $6.85 a day (2017 ppp) (% of population),renewable energy consumption (% of total final energy consumption),"pm2.5 air pollution, mean annual exposure (micrograms per cubic meter)",total greenhouse gas emissions excluding lulucf per capita (t co2e/capita),"energy use (kg of oil equivalent) per $1,000 gdp (constant 2021 ppp)"
THA,2024,7182.02525812415,514968699239.005,1.22802623546169,12.2,19.0,31.0072016277159,6.14739234448593,89.5455233867507
TJK,2024,1160.81187026311,12060602008.8478,6.00458082322139,66.4,34.9,37.0534062306267,2.06337966692137,89.0410073099036
TKM,2024,8232.65225980002,60628857142.8571,,,0.1,19.5997611438189,13.4150223004118,328.608940522236
TLA,2024,10553.7109939929,6779682191342.68,4.63202285403356,,34.2376570603295,15.5869189205524,5.35486945265558,67.9317714129179
TLS,2024,1502.51963828284,2079916900.0,2.06284153005468,94.6,11.4,17.4104661970888,1.44998938080715,
TMN,2024,3802.1797249029,1653767249808.37,7.70665764216232,,2.86370722475953,36.5157423689445,5.36167618557004,112.747140441533
TON,2024,4933.07479143113,518180042.241509,3.18364611260058,21.5,2.3,12.4784129504796,3.27064829775233,
TSA,2024,2303.30291008899,4494987381110.1,6.38195135323062,,37.8106319649424,46.761099733566,2.60222574447219,78.8497146908597
TSS,2024,1622.80705094435,2044578421949.78,6.34221743124953,,70.5731786913503,38.1777310513302,1.88539948494327,107.397578929616
TTO,2024,20016.1503008736,27372285697.9477,0.526884625776839,,0.5,25.6022583642289,24.9994515579411,352.402679769354
TUN,2024,3977.69516639644,48529595416.6533,7.20661657168794,16.2,11.6,24.1829826735327,3.57188200974211,75.6838307837695
TUR,2024,13105.6585678319,1118252964260.77,58.5064507300343,7.6,12.0,21.6120469179783,7.10721408190344,54.0435257605617
TUV,2024,6344.7750188689,62280311.5852172,0.5005807431527,56.6,5.2,5.91780105591262,0.407497962510187,
TZA,2024,1224.48962402344,79062403820.892,3.05694676312373,92.3,78.3,25.081431153535,1.34822317091371,117.829385763782
UGA,2024,1002.30913917142,48768955863.3175,3.3233806708656,91.1,90.9,33.8077192571642,1.09689125222701,177.188352399151
UKR,2024,5069.703125,178757021965.008,6.50198464669254,7.1,8.9,14.90010098879,5.72691647137257,115.240685215346
URY,2024,22797.8111731861,77240830877.4597,4.84914366613156,6.4,57.8,10.5717923259135,12.2884016055106,52.6575161149069
USA,2024,82769.4122114216,27720709000000.0,2.94952520485207,2.0,10.9,7.81485752365112,17.7979674508057,86.1970809766329
UZB,2024,2849.51461071911,101591769702.343,9.62825465956682,17.3,1.0,31.9604294559849,6.01732168411991,143.824680474112
VCT,2024,10520.4441534791,1065962962.96296,3.62770736940927,,5.1,23.9262758481858,1.48830966315644,
VEN,2024,15943.6127197163,482359318767.703,254.948534781816,,33.7,15.2565796212874,5.3846396296027,
VIR,2024,44320.909185774,4672000000.0,,,5.9,8.63342756669479,0.232564789309645,
VNM,2024,4282.08851724506,429716969043.572,3.62109273885843,19.7,24.2,20.8010641731194,5.22294022237202,79.1211805068117
VUT,2024,3515.23633611798,1126313359.21923,11.1825017088175,76.1,25.0,14.0824115364695,2.09170154396412,
WSM,2024,4330.17840531329,938189443.830393,2.17245530514377,43.3,35.9,12.5518952802963,2.98205046546942,
YEM,2024,477.409028678688,21606160783.9845,8.10472583623915,85.4,3.7,34.8323598356099,0.81853886741419,
ZAF,2024,6022.5425418935,380699271814.508,4.36115246518962,61.6,9.7,23.753069242361,8.25970271901152,143.469642341911
ZMB,2024,1330.72780576709,27577956471.244,10.884531691282,93.2,83.0,24.3085919008655,1.47097333931996,223.332559833109
ZWE,2024,2156.0340040333,35231367885.8554,104.705170628667,85.0,82.4,19.4941796611344,1.89827047868216,125.36009329803
