country,year,gdp per capita (current us$),gdp (current us$),"inflation, consumer prices (annual %)",poverty headcount ratio at $6.85 a day (2017 ppp) (% of population),renewable energy consumption (% of total final energy consumption),"pm2.5 air pollution, mean annual exposure (micrograms per cubic meter)",total greenhouse gas emissions excluding lulucf per capita (t co2e/capita),"energy use (kg of oil equivalent) per $1,000 gdp (constant 2021 ppp)"
CZE,2024,31591.1770732969,343207874553.734,2.43531202435314,0.3,17.2,14.1110711384133,10.5336853447363,74.2303663312969
DEU,2024,54343.2265084958,4525703903627.53,2.2564981433876,0.5,17.6,10.2876894329414,8.18696325648415,46.6666796421588
DJI,2024,3554.83918868372,4098530513.55777,1.49506816515088,78.5,26.9,35.9243304831101,1.84952608279327,
DMA,2024,9832.99643050057,653992592.592593,4.22769324983409,,8.9,20.6672998234563,2.20869042249286,
DNK,2024,68453.8769281145,407091920305.404,1.37220049768918,0.3,39.5,9.06983927345931,7.03410755627421,34.7513044369561
DOM,2024,10717.6276712204,121444279313.931,3.30223338951227,21.5,14.8,19.8267440369685,4.27103240459031,41.7653395811355
DZA,2024,5364.02795022731,247626161016.414,4.04611455313434,36.3,0.1,25.5526558310447,5.56257867158979,101.496805828942
EAP,2024,9900.61356517593,21162836277192.4,5.88585897042164,,16.1032550340587,30.4014002906163,8.92995740723374,115.785787844641
EAR,2024,4256.78414448262,14945896099125.4,5.88289680163219,,25.039700621241,37.4158024833557,3.67536533804961,84.2611859355228
EAS,2024,12908.6377076783,30780176881541.3,4.24579935926737,27.4,14.7357084471391,28.8820060378253,9.13908008690128,106.234366635457
ECA,2024,8548.0103775697,2129704371516.14,9.07365149809048,,10.0828079236402,22.0578951970156,7.23726217630494,86.1651845940837
ECS,2024,29789.15402951,27554069781140.1,7.44687717385838,8.2,15.1438025767545,14.3062897935361,8.86361733861466,69.967557030752
ECU,2024,6609.80408154957,118844826000.0,1.54732515615369,29.6,18.9,16.6570210758922,4.09367409483037,63.431745431689
EGY,2024,3457.45691570455,396002496996.96,33.8847763115546,68.8,6.1,54.8587056496436,2.93330192073093,55.0337289117132
EMU,2024,45130.1240539874,15780686672317.3,5.78431554960862,,19.8558785087338,11.0045270022193,6.95643069449076,50.2454078279103
ERI,2024,688.68165957684,2065001626.01626,,,80.7,32.3515206386852,1.8446918069727,
ESP,2024,33509.0127982139,1620090734956.89,2.77417826534772,1.9,19.0,9.58105460690675,5.90271430554082,48.5139669014362
EST,2024,30133.304450454,41291245222.1948,3.52056053296586,0.7,38.0,6.14573290973003,10.4824832188317,69.0765756109145
